prospectno,FDD,MAXDPD24M,max_DPD_LFT,Total_Payments,TGT
717908,31JAN2015,55,55,>24 Payment,0
717916,27JAN2015,0,,>24 Payment,0
717918,11FEB2015,0,,>24 Payment,0
717925,24JAN2015,24,24,>24 Payment,0
717926,16JAN2015,0,,>24 Payment,0
717936,31JAN2015,0,,>24 Payment,0
717938,31JAN2015,0,,>24 Payment,0
717971,03JAN2015,0,,>24 Payment,0
717977,28FEB2015,0,,>24 Payment,0
718004,28FEB2015,0,,>24 Payment,0
718005,30JAN2015,0,,>24 Payment,0
718015,09FEB2015,0,,>24 Payment,0
718018,23JAN2015,0,,>24 Payment,0
718020,31JAN2015,0,,19-24 Payment,0
718021,06FEB2015,25,25,>24 Payment,0
718034,23FEB2015,0,,>24 Payment,0
718035,31JAN2015,0,,>24 Payment,0
718046,19JAN2015,0,31,>24 Payment,0
718051,14MAR2015,0,,>24 Payment,0
718066,28JAN2015,0,,>24 Payment,0
718076,31JAN2015,0,,>24 Payment,0
718078,31JAN2015,0,,>24 Payment,0
718084,19MAR2015,0,,>24 Payment,0
718095,23FEB2015,0,,>24 Payment,0
718096,31JAN2015,178,178,>24 Payment,1
718102,28JAN2015,0,,>24 Payment,0
718105,30MAR2015,0,,>24 Payment,0
718121,19JAN2015,0,,>24 Payment,0
718123,31JAN2015,0,,>24 Payment,0
718131,04FEB2015,31,31,>24 Payment,0
718137,20FEB2015,0,,>24 Payment,0
718140,26MAR2015,0,,>24 Payment,0
718173,28FEB2015,31,31,>24 Payment,0
718206,13FEB2015,0,,>24 Payment,0
718220,21JAN2015,17,17,>24 Payment,0
718230,28FEB2015,0,,>24 Payment,0
718234,19FEB2015,0,,>24 Payment,0
718239,13MAR2015,0,0,>24 Payment,0
718240,31JAN2015,86,512,>24 Payment,1
718245,31JAN2015,0,,>24 Payment,0
718250,28FEB2015,26,26,>24 Payment,0
718251,31JAN2015,25,25,>24 Payment,0
718254,31JAN2015,0,,>24 Payment,0
718256,28JAN2015,62,62,>24 Payment,1
718257,16FEB2015,0,,>24 Payment,0
718258,31JAN2015,0,,>24 Payment,0
718264,28FEB2015,0,,>24 Payment,0
718266,04FEB2015,0,27,>24 Payment,0
718272,05FEB2015,0,,>24 Payment,0
718275,06FEB2015,62,62,>24 Payment,1
718278,31JAN2015,0,,>24 Payment,0
718282,28FEB2015,0,,>24 Payment,0
718299,31JAN2015,0,,>24 Payment,0
718300,28FEB2015,267,573,>24 Payment,1
718301,31JAN2015,0,,>24 Payment,0
718302,22JAN2015,24,24,>24 Payment,0
718304,28FEB2015,0,,>24 Payment,0
718306,31JAN2015,25,25,>24 Payment,0
718314,31JAN2015,0,,>24 Payment,0
718328,31JAN2015,0,,>24 Payment,0
718335,31MAR2015,0,,>24 Payment,0
718336,28FEB2015,0,,>24 Payment,0
718348,31JAN2015,0,,>24 Payment,0
718351,31JAN2015,0,,>24 Payment,0
718362,31JAN2015,0,,>24 Payment,0
718366,30APR2015,57,57,>24 Payment,0
718371,31MAR2015,0,,>24 Payment,0
718382,31JAN2015,0,,>24 Payment,0
718385,24JAN2015,0,,>24 Payment,0
718388,06FEB2015,0,,>24 Payment,0
718392,28FEB2015,0,,>24 Payment,0
718400,07FEB2015,180,180,19-24 Payment,1
718405,17JAN2015,25,25,>24 Payment,0
718407,31JAN2015,0,0,>24 Payment,0
718415,29JAN2015,0,,>24 Payment,0
718424,10MAR2015,0,27,>24 Payment,0
718431,31JAN2015,0,,>24 Payment,0
718432,28FEB2015,0,,>24 Payment,0
718433,27FEB2015,0,27,>24 Payment,0
718434,28FEB2015,0,,>24 Payment,0
718440,31JAN2015,17,78,>24 Payment,0
718441,07FEB2015,30,30,>24 Payment,0
718450,18FEB2015,0,,>24 Payment,0
718456,30APR2015,31,31,>24 Payment,0
718459,24MAR2015,0,,>24 Payment,0
718461,28FEB2015,0,,>24 Payment,0
718462,31JAN2015,147,601,>24 Payment,1
718471,12FEB2015,0,,>24 Payment,0
718478,31JAN2015,0,,>24 Payment,0
718483,23MAR2015,0,,>24 Payment,0
718491,28FEB2015,0,27,>24 Payment,0
718493,27MAR2015,0,,>24 Payment,0
718496,31JAN2015,0,,>24 Payment,0
718500,31JAN2015,0,,>24 Payment,0
718502,31JAN2015,26,26,>24 Payment,0
718511,31JAN2015,0,,>24 Payment,0
718513,31JAN2015,0,,>24 Payment,0
718514,28FEB2015,25,25,>24 Payment,0
718524,29JAN2015,0,,>24 Payment,0
718529,31MAR2015,0,,>24 Payment,0
718544,31MAR2015,0,,>24 Payment,0
718549,15APR2015,0,,>24 Payment,0
718550,28FEB2015,0,,>24 Payment,0
718554,28FEB2015,61,61,>24 Payment,1
718565,31JAN2015,78,116,>24 Payment,1
718566,31JAN2015,25,25,>24 Payment,0
718573,23JAN2015,0,,>24 Payment,0
718574,31JAN2015,0,25,>24 Payment,0
718576,31JAN2015,0,,>24 Payment,0
718582,23APR2015,0,,>24 Payment,0
718594,26FEB2015,0,,>24 Payment,0
718602,28FEB2015,0,,>24 Payment,0
718603,30APR2015,0,,>24 Payment,0
718605,28JAN2015,0,,>24 Payment,0
718608,31JAN2015,0,,>24 Payment,0
718609,19FEB2015,0,,>24 Payment,0
718618,31JAN2015,0,22,>24 Payment,0
718620,28FEB2015,0,27,>24 Payment,0
718621,20APR2015,0,,>24 Payment,0
718623,13FEB2015,24,24,>24 Payment,0
718624,31JAN2015,25,25,>24 Payment,0
718626,03FEB2015,0,,>24 Payment,0
718628,28FEB2015,0,,>24 Payment,0
718630,31JAN2015,58,88,>24 Payment,0
718631,31JAN2015,0,,>24 Payment,0
718634,23FEB2015,0,,>24 Payment,0
718652,28FEB2015,17,17,>24 Payment,0
